Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad, ,Ciudad,Tipo de Distribución,Reproducciones
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54078,"$3,450",70523,1934,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,CUMBRES BORRASCOSAS,,,,1100,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1101,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1101,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1102,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1102,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1103,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1103,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1104,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1105,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,BRANDING PRE AT&T,,,,1105,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1106,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1106,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1107,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1107,Contraflujo,Ciudad de México,RENTA,
MERCADO PAGO,MERCADO LIBRE,RENTA,54159,"$4,200",70571,10757,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,PAGA A MESES,,,,1108,Flujo,Ciudad de México,RENTA,
APOSTARIAS POR MI,VIX,RENTA,1038,"$3,608",1249,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,APOSTARÍAS POR MI HOMBRE BOGOTE Y MUJER COLOR,,,,1108,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1109,Flujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1109,Contraflujo,Ciudad de México,RENTA,
MERCADO PAGO,MERCADO LIBRE,RENTA,54159,"$4,200",70571,10757,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,PAGA A MESES,,,,1112,Flujo,Ciudad de México,RENTA,
APOSTARIAS POR MI,VIX,RENTA,1038,"$3,608",1249,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,APOSTARÍAS POR MI HOMBRE BOGOTE Y MUJER COLOR,,,,1112,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1113,Contraflujo,Ciudad de México,RENTA,
METROP PARALELO (SIN VISIBILIDAD),CORTESIA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,METROP PARALELO (SIN VISIBILIDAD),,,,1115,Flujo,Ciudad de México,RENTA,
METROP PARALELO (SIN VISIBILIDAD),CORTESIA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,METROP PARALELO (SIN VISIBILIDAD),,,,1115,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1116,Flujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,1116,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1117,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,BRANDING PRE AT&T,,,,1117,Contraflujo,Ciudad de México,RENTA,
SABRITAS MUNDIAL,SABRITAS,RENTA,54181,"$3,950",70541,2312,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,SABRITAL SAL Y ADOBADAS,,,,1118,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1118,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1119,Flujo,Ciudad de México,RENTA,
CARNAVAL DE VERACRUZ,MUNICIPIO DE VERACRUZ,CORTESIA,54120,$0,70555,9476,CT-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,CARNAVAL DE VERACRUZ,,,,1119,Contraflujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,1120,Flujo,Ciudad de México,RENTA,
CARNAVAL DE VERACRUZ,MUNICIPIO DE VERACRUZ,CORTESIA,54120,$0,70555,9476,CT-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,CARNAVAL DE VERACRUZ,,,,1120,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1121,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1121,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1122,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1122,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1912C,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1912C,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1328,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1328,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1329,Contraflujo,Ciudad de México,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$3,575",70444,11262,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,1240,Flujo,Ciudad de México,RENTA,
HERO 25,BATISTE,RENTA,53855,"$4,293",70298,11268,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,GENERICO,,,,1240,Contraflujo,Ciudad de México,RENTA,
"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1237,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PINES,,,,1303,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1303,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1304,Flujo,Ciudad de México,RENTA,
APOSTARIAS POR MI,VIX,RENTA,1038,"$3,608",1249,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,APOSTARÍAS POR MI HOMBRE BOGOTE Y MUJER COLOR,,,,1304,Contraflujo,Ciudad de México,RENTA,
EL FANTASMA DE LA OPERA 2026,SIN MARCA,RENTA,1062,"$4,200",1286,11517,RT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,EL FANTASMA DE LA OPERA,,,,1305,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1305,Contraflujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,1306,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1306,Contraflujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,BRANDING PRE AT&T,,,,1307,Flujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,1307,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1308,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1308,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1309,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1310,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1310,Contraflujo,Ciudad de México,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$3,575",70444,11262,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,1311,Flujo,Ciudad de México,RENTA,
IHOP LOS FAVORITOS,IHOP,RENTA,54098,"$3,669",70545,11496,RT-P1-COB-MX,DULCE BALTIERRA,,Catorcenas 2026,Catorcena #2,LOS FAVORITOS PANCAKES,,,,1311,Contraflujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1049,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,EL MOCHAOREJAS,,,,1330,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1330,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1313,Flujo,Ciudad de México,RENTA,
CARNAVAL DE VERACRUZ,MUNICIPIO DE VERACRUZ,CORTESIA,54120,$0,70555,9476,CT-P1-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,CARNAVAL DE VERACRUZ,,,,1313,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1331,Flujo,Ciudad de México,RENTA,
SABA,SABA,RENTA,1102,"$4,200",1300,11432,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #2,SABA ULTRAINVISIBLE,,,,1331,Contraflujo,Ciudad de México,RENTA,
APOSTARIAS POR MI,VIX,RENTA,1038,"$3,608",1249,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,APOSTARÍAS POR MI HOMBRE BOGOTE Y MUJER COLOR,,,,1315,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1315,Contraflujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,BRANDING PRE AT&T,,,,1316,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1316,Contraflujo,Ciudad de México,RENTA,
IHOP LOS FAVORITOS,IHOP,RENTA,54098,"$3,669",70545,11496,RT-P1-COB-MX,DULCE BALTIERRA,,Catorcenas 2026,Catorcena #2,LOS FAVORITOS HAMBURGUESA,,,,1317,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1318,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1239,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1239,Contraflujo,Ciudad de México,RENTA,
APOSTARIAS POR MI,VIX,RENTA,1038,"$3,608",1249,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,APOSTARÍAS POR MI HOMBRE BOGOTE Y MUJER COLOR,,,,1202,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1202,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,1203,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1203,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1204,Flujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1204,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1205,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1205,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,1206,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,1206,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1238,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1238,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,1208,Flujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,1208,Contraflujo,Ciudad de México,RENTA,
BBVA SEGURO DE AUTO,BBVA,RENTA,54084,"$2,742",70535,9058,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,LA AYUDA ESTA A UN CLIC,,,,1209,Flujo,Ciudad de México,RENTA,
SIX FLAGS,SIX FLAGS,RENTA,54484,"$4,675",70683,9506,RT-P1-COB-MX,LEONOR BARRANON,,Catorcenas 2026,Catorcena #2,SIX FLAGS SPEEDWAY,,,,1209,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1210,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1210,Contraflujo,Ciudad de México,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54078,"$3,450",70523,1934,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,CUMBRES BORRASCOSAS,,,,1207,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1207,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1237,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1237,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,1244,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1244,Contraflujo,Ciudad de México,RENTA,
NESCAFE CLASICO,NESTLE,RENTA,54031,"$4,800",70453,10686,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,NESCAFE,,,,1214,Flujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,1214,Contraflujo,Ciudad de México,RENTA,
NESCAFE CLASICO,NESTLE,RENTA,54031,"$4,800",70453,10686,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,NESCAFE,,,,1215,Flujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1049,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,EL MOCHAOREJAS,,,,1215,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,1216,Flujo,Ciudad de México,RENTA,
NESCAFE CLASICO,NESTLE,RENTA,54031,"$4,800",70453,10686,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,NESCAFE,,,,1216,Contraflujo,Ciudad de México,RENTA,
"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1237,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PINES,,,,1227,Flujo,Ciudad de México,RENTA,
NESCAFE CLASICO,NESTLE,RENTA,54031,"$4,800",70453,10686,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,NESCAFE,,,,1227,Contraflujo,Ciudad de México,RENTA,
